"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         223,      -11.92456032,      -11.88080742,       -11.7055899,      -12.38856158,       -11.3542757
          0,           0,         224,      -11.94492924,      -11.90704478,      -11.68634101,      -12.46647995,      -11.37618757
          0,           0,         225,      -11.95262565,      -11.91570827,      -11.69904143,      -12.46982745,      -11.38254031
          0,           0,         226,      -11.92823424,      -11.88400926,      -11.70567847,      -12.31312609,      -11.35708739
          0,           0,         227,      -11.93997848,      -11.90198548,      -11.68687989,      -12.46028729,      -11.37132768
          0,           0,         228,      -11.96252733,       -11.9275293,      -11.68698967,      -12.54136212,      -11.39415933
          0,           0,         229,      -11.96253074,      -11.92574043,      -11.70153659,      -12.56199433,      -11.39219482
          0,           0,         230,      -11.94939113,      -11.91183664,      -11.70796482,      -12.59244109,      -11.37836747
          0,           0,         231,        -11.958017,      -11.92358816,      -11.68790202,      -12.56149748,      -11.38926363
          0,           0,         232,      -11.96310227,      -11.92804417,      -11.69997829,      -12.56868005,      -11.39305381
          0,           0,         233,      -11.95082491,      -11.91315318,      -11.70702915,      -12.52284032,      -11.37996428
          0,           0,         234,      -11.95055567,      -11.91271996,      -11.68703328,      -12.42000397,      -11.38166152
          0,           0,         235,      -11.96427091,      -11.92898943,      -11.68724347,      -12.54962583,      -11.39618416
          0,           0,         236,      -11.97358114,      -11.93909548,      -11.68928762,      -12.63209446,       -11.4050978
          0,           0,         237,      -11.97621431,       -11.9413869,      -11.69039271,      -12.64943327,      -11.40749085
          0,           0,         238,      -11.97266571,      -11.93568363,        -11.690808,      -12.55232239,      -11.40369935
          0,           0,         239,      -11.95390916,      -11.90996971,      -11.68965268,      -12.31249167,      -11.38463967
          0,           0,         240,      -11.95861128,      -11.91643676,      -11.69056274,      -12.47808054,       -11.3899044
          0,           0,         241,      -11.97023258,      -11.93065508,      -11.69079853,      -12.57586719,      -11.40107552
          0,           0,         242,      -11.97290519,      -11.93436035,      -11.69086837,      -12.57276119,      -11.40375953
          0,           0,         243,      -11.96243014,      -11.92108563,      -11.69036445,      -12.40460611,       -11.3930838
          0,           0,         244,        -11.967577,      -11.92586442,      -11.68971975,      -12.34037471,      -11.39836883
          0,           0,         245,      -11.96638264,      -11.92495387,      -11.68898524,      -12.32037577,      -11.39725163
          0,           0,         246,      -11.95245919,      -11.91014369,      -11.68935854,      -12.42362229,       -11.3835483
          0,           0,         247,      -11.96680512,      -11.92615441,      -11.68951691,      -12.46028065,      -11.39757002
          0,           0,         248,      -11.97169127,      -11.93194089,      -11.68988933,      -12.48874797,      -11.40253233
          0,           0,         249,      -11.96750951,      -11.92661852,      -11.69031657,      -12.43888108,      -11.39822295
          0,           0,         250,      -11.97116406,      -11.93036031,      -11.69046642,      -12.42044564,      -11.40200868
          0,           0,         251,      -11.94349447,      -11.89509655,      -11.68851329,      -12.22586152,      -11.37390585
          0,           0,         252,      -11.94292918,      -11.89701022,      -11.68990343,      -12.39827397,       -11.3743268
          0,           0,         253,      -11.95945158,      -11.91650588,      -11.69012347,      -12.48683875,       -11.3902051
          0,           0,         254,      -11.96914692,      -11.92811786,      -11.69023165,      -12.51596301,      -11.40004165
          0,           0,         255,      -11.96987736,      -11.92910608,      -11.69060845,      -12.49510674,       -11.4006419
          0,           0,         256,      -11.95207269,      -11.90557614,      -11.69005946,      -12.30966016,      -11.38257644
          0,           0,         257,      -11.95712314,      -11.91390657,      -11.69077525,      -12.50803374,      -11.38834241
          0,           0,         258,      -11.97062148,      -11.93067366,      -11.69105822,      -12.62434282,      -11.40136685
          0,           0,         259,      -11.97333546,       -11.9345216,      -11.69112737,      -12.60143532,      -11.40416087
          0,           0,         260,      -11.97415006,      -11.93600402,      -11.69070073,      -12.61844822,      -11.40502498
          0,           0,         261,      -11.97766961,      -11.94013133,      -11.69044474,      -12.57082213,      -11.40854488
          0,           0,         262,      -11.97871988,      -11.94148186,      -11.69013564,      -12.52821328,      -11.40971811
          0,           0,         263,      -11.97734945,      -11.93942186,      -11.69000577,      -12.49329321,      -11.40832191
          0,           0,         264,      -11.96890976,      -11.92772712,      -11.68983945,      -12.40435857,      -11.39972759
          0,           0,         265,      -11.97130014,      -11.93184622,      -11.69015887,      -12.52303255,      -11.40240613
          0,           0,         266,      -11.97638983,      -11.93848366,      -11.69047685,       -12.5819429,      -11.40728746
          0,           0,         267,      -11.97761729,      -11.94027993,      -11.69064001,      -12.58451358,      -11.40853814
          0,           0,         268,      -11.97340761,      -11.93437919,      -11.69068001,      -12.50681719,      -11.40424138
          0,           0,         269,      -11.94294981,      -11.89461513,      -11.70157327,      -12.29052498,      -11.37208637
          0,           0,         270,      -11.94911847,      -11.90553932,      -11.68969688,      -12.45709842,      -11.38028868
          0,           0,         271,       -11.9663089,      -11.92672798,      -11.68928733,      -12.56831579,      -11.39756753
          0,           0,         272,      -11.97145393,      -11.93315343,      -11.69012181,      -12.56951167,       -11.4026596
          0,           0,         273,      -11.97490954,      -11.93732873,      -11.69067525,      -12.57231364,      -11.40592176
          0,           0,         274,      -11.96324943,      -11.92169033,      -11.69021603,      -12.39468276,      -11.39391565
          0,           0,         275,      -11.96336761,      -11.92319931,       -11.6908035,      -12.55983663,      -11.39449578
