"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         206,      -5.986594935,      -4.003018121,      -4.288626026,      -3.906339469,      -9.613173938
          0,           0,         207,      -5.994010111,      -4.001232932,      -4.289088296,      -3.905313613,      -9.606226022
          0,           0,         208,      -6.002980546,      -3.999351788,      -4.289579283,      -3.904637377,      -9.599247033
          0,           0,         209,      -6.013199326,      -3.997385723,      -4.290094347,      -3.904301572,      -9.592247376
          0,           0,         210,      -6.024390916,      -3.995347456,      -4.290620742,      -3.904351387,      -9.585245738
          0,           0,         211,      -6.036304008,      -3.993250822,      -4.291139936,      -3.904863711,      -9.578254492
          0,           0,         212,      -6.048684964,      -3.991110427,      -4.291630759,      -3.905911949,      -9.571307019
          0,           0,         213,      -6.061238323,      -3.988941413,      -4.292072688,       -3.90752875,       -9.56440047
          0,           0,         214,      -6.073586792,      -3.986759191,      -4.292448614,      -3.909676186,      -9.557523183
          0,           0,         215,      -6.085247839,      -3.984579038,      -4.292746601,      -3.912230394,      -9.550599307
          0,           0,         216,      -6.095645393,      -3.982415533,      -4.292960435,      -3.914984624,      -9.543637662
          0,           0,         217,      -6.104170061,      -3.980281838,      -4.293089023,      -3.917671503,      -9.536638663
          0,           0,         218,      -6.110286101,      -3.978188923,      -4.293134973,      -3.920001638,      -9.529645442
          0,           0,         219,      -6.113659551,      -3.976144857,      -4.293102802,      -3.921711499,      -9.522713369
          0,           0,         220,      -6.114261205,      -3.974154274,      -4.292997251,      -3.922609722,      -9.515811031
          0,           0,         221,      -6.112398947,      -3.972218127,      -4.292822078,      -3.922609814,      -9.508928142
          0,           0,         222,      -6.108663009,      -3.970333777,      -4.292579528,      -3.921740177,      -9.502093647
          0,           0,         223,      -6.103807727,      -3.968495419,      -4.292270508,      -3.920129292,      -9.495275401
          0,           0,         224,      -6.098616159,      -3.966694802,      -4.291895286,      -3.917971708,      -9.488379316
          0,           0,         225,      -6.093788468,      -3.964922137,      -4.291454465,      -3.915485624,      -9.481361538
          0,           0,         226,       -6.08987299,      -3.963167096,      -4.290949907,      -3.912873384,      -9.474236143
          0,           0,         227,      -6.087238754,      -3.961419774,       -4.29038538,      -3.910293044,      -9.467055703
          0,           0,         228,      -6.086078264,       -3.95967152,      -4.289766743,      -3.907844558,      -9.459891355
          0,           0,         229,      -6.086428475,      -3.957915563,      -4.289101644,      -3.905570097,       -9.45279879
          0,           0,         230,      -6.088201052,      -3.956147406,      -4.288398825,      -3.903465301,      -9.445852895
          0,           0,         231,      -6.091216524,      -3.954364973,       -4.28766719,      -3.901497049,       -9.43901766
          0,           0,         232,      -6.095239103,      -3.952568558,       -4.28691486,      -3.899622981,      -9.432127105
          0,           0,         233,      -6.100009675,      -3.950760607,      -4.286148392,      -3.897808515,      -9.425199209
          0,           0,         234,      -6.105274344,      -3.948945393,      -4.285372316,      -3.896038163,      -9.418252432
          0,           0,         235,      -6.110805801,      -3.947128631,      -4.284589029,      -3.894319627,      -9.411305683
          0,           0,         236,      -6.116415387,      -3.945317076,      -4.283799049,       -3.89268088,      -9.404318975
          0,           0,         237,      -6.121955241,      -3.943518115,      -4.283001523,      -3.891162028,      -9.397259265
          0,           0,         238,      -6.127312048,      -3.941739381,      -4.282194873,      -3.889804611,      -9.390186189
          0,           0,         239,      -6.132395886,      -3.939988399,      -4.281377439,      -3.888641168,      -9.383122637
          0,           0,         240,        -6.1371287,      -3.938272241,      -4.280548014,      -3.887687327,      -9.376087017
          0,           0,         241,       -6.14143661,      -3.936597231,      -4.279706183,      -3.886937798,      -9.369090154
