"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         250,      -7.789761159,      -6.265633355,      -7.162269049,      -6.258407701,      -8.441865752
          0,           0,         251,      -7.798623428,      -6.275288852,      -7.173965639,      -6.267769938,       -8.45128345
          0,           0,         252,      -7.807520792,      -6.284862907,      -7.186049923,      -6.277075817,      -8.460744031
          0,           0,         253,      -7.816450865,      -6.294354688,      -7.198513141,       -6.28633518,      -8.470245649
          0,           0,         254,      -7.825411653,      -6.303763014,      -7.211331119,      -6.295555722,      -8.479789527
          0,           0,         255,      -7.834401682,      -6.313086486,      -7.224464295,      -6.304742815,      -8.489376976
          0,           0,         256,      -7.843419921,       -6.32232364,      -7.237858746,      -6.313899417,      -8.499008982
          0,           0,         257,      -7.852465564,      -6.331473218,      -7.251448504,      -6.323026158,      -8.508686502
          0,           0,         258,      -7.861537123,      -6.340534176,       -7.26515599,      -6.332121376,       -8.51841042
          0,           0,         259,      -7.870632153,      -6.349506097,      -7.278894924,      -6.341181377,      -8.528183115
          0,           0,         260,      -7.879747186,      -6.358389401,      -7.292571538,      -6.350201192,      -8.538002438
          0,           0,         261,       -7.88887807,      -6.367185498,      -7.306086397,      -6.359175209,      -8.547868613
          0,           0,         262,       -7.89802034,      -6.375896927,      -7.319337315,      -6.368097775,      -8.557784782
          0,           0,         263,      -7.907169464,      -6.384527476,      -7.332223614,      -6.376963722,      -8.567752439
          0,           0,         264,      -7.916321027,      -6.393082235,      -7.344651044,      -6.385768811,      -8.577771657
          0,           0,         265,      -7.925470575,      -6.401567566,      -7.356535566,       -6.39451001,      -8.587843186
          0,           0,         266,      -7.934613674,      -6.409991134,      -7.367810334,      -6.403185661,        -8.5979676
          0,           0,         267,      -7.943746111,      -6.418361853,      -7.378429382,      -6.411795879,        -8.6081457
          0,           0,         268,      -7.952863809,        -6.4266898,      -7.388370748,      -6.420342686,      -8.618377894
          0,           0,         269,      -7.961962807,      -6.434986099,      -7.397637958,      -6.428830147,      -8.628665121
          0,           0,         270,       -7.97103926,       -6.44326277,      -7.406260169,      -6.437264399,      -8.639007974
          0,           0,         271,      -7.980089469,      -6.451532547,      -7.414290106,      -6.445653606,      -8.649406901
          0,           0,         272,      -7.989109806,      -6.459808649,      -7.421800377,      -6.454007779,      -8.659861964
          0,           0,         273,      -7.998096799,      -6.468104522,      -7.428880587,      -6.462338546,      -8.670373502
          0,           0,         274,      -8.007047413,      -6.476433577,       -7.43563209,      -6.470659082,      -8.680942035
          0,           0,         275,      -8.015959036,      -6.484808913,      -7.442163096,      -6.478983913,      -8.691567348
