"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         42,           9,      -7.666792996,      -3.819377368,      -3.808352297,      -1.882316837,      -2.900370788,      0.9329898399,      0.5501133432,      0.9997213902,                 0,                 0,                 0,      0.1519785279,      0.2337857593,       1.116875896,                 0,       1.817300748,      0.9381128216,      -2.520219253,      -1.477515251,      -1.609026382,      -2.220810999,      -2.049551482,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,           9,       -7.69382631,        -3.8903183,      -3.725954301,       -1.93899049,      -3.009807145,      0.9329898399,      0.5467337552,      0.9650230979,                 0,                 0,                 0,      0.1407311066,      0.2406986422,       1.082705658,                 0,        1.76506954,      0.9690758549,      -2.555255299,      -1.558440771,      -1.533915785,      -2.285413593,      -2.164667779,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,           9,      -7.690984566,      -3.919949744,      -3.629987022,      -1.969671973,      -2.729313911,      0.9329898399,      0.5363653529,      0.9050367958,                 0,                 0,                 0,      0.1248572955,      0.2483215871,       1.022309045,                 0,       1.687351338,      0.8204197652,      -2.559522979,      -1.595868504,      -1.444482473,      -2.323195137,      -1.886086981,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,           9,      -7.681727103,      -3.880937809,      -3.629133515,      -1.940628414,      -2.812477626,      0.9329898399,      0.5193066035,      0.8297411397,                 0,                 0,                 0,       0.105522153,      0.2540225433,       0.945315955,                 0,       1.597786614,      0.6441289933,      -2.557399617,       -1.56252505,      -1.449242016,      -2.300749387,      -1.976798049,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,           9,      -7.694885453,      -3.801485718,      -3.692540166,      -1.887532136,      -2.949699952,      0.9329898399,       0.497152431,      0.7490817229,                 0,                 0,                 0,     0.08326701475,      0.2564189339,       0.861703718,                 0,       1.506744564,      0.4372052793,      -2.576231839,      -1.486966064,      -1.517669165,      -2.252903846,      -2.115989551,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,           9,      -7.665535699,      -3.742864934,      -3.707833876,      -1.854655468,      -3.042153065,      0.9329898399,      0.4752157173,       0.686763974,                 0,                 0,                 0,     0.06681821442,      0.2536606968,      0.7956952839,                 0,       1.445162584,      0.2920661678,      -2.551836748,      -1.431263534,      -1.537425107,      -2.224980112,       -2.20769105,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,           9,      -7.700160487,      -3.738712424,      -3.857353099,      -1.843479488,      -3.085690742,      0.9329898399,      0.4546036924,      0.6472328063,                 0,                 0,                 0,     0.05431877717,      0.2455071142,      0.7518650674,                 0,       1.423729761,      0.2920754356,      -2.591638436,      -1.429081499,       -1.69004243,      -2.218754385,      -2.250506224,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,           9,      -7.761396949,      -3.762157824,      -3.800327089,      -1.876878003,      -2.981975169,      0.9329898399,      0.4430854626,      0.6467318782,                 0,                 0,                 0,     0.05236884342,      0.2346386334,       0.748018423,                 0,       1.459609788,      0.3989392094,      -2.657043243,      -1.453233982,      -1.634781483,      -2.256200761,      -2.145504937,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,           9,      -7.789825324,      -3.789359165,      -3.761575371,      -1.893927166,      -2.965575548,      0.9329898399,      0.4394376943,      0.6748682934,                 0,                 0,                 0,     0.05578285232,      0.2229239636,      0.7738589064,                 0,        1.53575422,      0.5593717356,       -2.68863445,      -1.480110758,      -1.596504401,      -2.276930918,      -2.126068809,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         51,           9,      -7.706499291,      -3.795980208,      -3.728959255,       -1.87229871,      -2.998557881,      0.9329898399,      0.4475954307,       0.737900326,                 0,                 0,                 0,     0.06980843094,      0.2122964629,      0.8365218303,                 0,        1.64858771,      0.6057027529,      -2.608213086,      -1.485524111,      -1.562673087,      -2.258852954,      -2.157043544,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         52,           9,      -7.621819952,      -3.771567708,      -3.718740976,      -1.840341514,      -3.033304036,      0.9329898399,      0.4667973177,      0.8228415238,                 0,                 0,                 0,     0.09053547224,      0.2058249159,      0.9233655901,                 0,       1.762738329,      0.7466814249,      -2.525933712,      -1.458958558,      -1.549050322,      -2.229829539,       -2.18864001,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
